"Id","Label","Name","Provided","Treeshaked","Used"
1577,"./pages/profile/ui/tabs.tsx","./pages/profile/ui/tabs.tsx",1,1,1
9580,"./pages/article/model/api.ts","./pages/article/model/api.ts",2,1,2
677,"./entities/comment/model/store.ts","./entities/comment/model/store.ts",10,0.7,7
7023,"./entities/article/ui/article-meta.tsx","./entities/article/ui/article-meta.tsx",1,1,1
8090,"./pages/article/ui/edit-mode.tsx","./pages/article/ui/edit-mode.tsx",1,1,1
8781,"../node_modules/markdown-to-jsx/dist/index.modern.js","../node_modules/markdown-to-jsx/dist/index.modern.js",2,0.5,1
7093,"./pages/article/ui/tags.tsx","./pages/article/ui/tags.tsx",1,1,1
3637,"./entities/comment/ui/message-for-unauthorized.tsx","./entities/comment/ui/message-for-unauthorized.tsx",1,1,1
2137,"./entities/comment/ui/add-comment-form.tsx","./entities/comment/ui/add-comment-form.tsx",1,1,1
1677,"./entities/comment/ui/comments-list.tsx","./entities/comment/ui/comments-list.tsx",1,1,1
7786,"./pages/home/pages/global-feed/model/store.ts","./pages/home/pages/global-feed/model/store.ts",7,0.5714285714285714,4
3391,"./entities/article/ui/feed.tsx","./entities/article/ui/feed.tsx",1,1,1
4929,"./shared/ui/pagination/item/index.tsx","./shared/ui/pagination/item/index.tsx",1,1,1
7539,"./pages/home/pages/your-feed/model/store.ts","./pages/home/pages/your-feed/model/store.ts",8,0.5,4
8245,"./pages/home/pages/feed-by-tag/model/store.ts","./pages/home/pages/feed-by-tag/model/store.ts",7,0.5714285714285714,4
7033,"./pages/profile/pages/my-articles/model/store.ts","./pages/profile/pages/my-articles/model/store.ts",7,0.5714285714285714,4
8077,"./pages/profile/pages/favorited-articles/model.ts","./pages/profile/pages/favorited-articles/model.ts",8,0.625,5
8891,"../node_modules/query-string/index.js","../node_modules/query-string/index.js",7,100,
7798,"../node_modules/use-query-params/esm/updateUrlQuery.js","../node_modules/use-query-params/esm/updateUrlQuery.js",2,1,2
1039,"../node_modules/effector-storage/index.js","../node_modules/effector-storage/index.js",2,0.5,1
5503,"../node_modules/effector-storage/storage/index.js","../node_modules/effector-storage/storage/index.js",1,1,1
1145,"../node_modules/effector-storage/nil/index.js","../node_modules/effector-storage/nil/index.js",1,1,1
4206,"../node_modules/axios/index.js","../node_modules/axios/index.js",-1,-1,
331,"../node_modules/prop-types/lib/ReactPropTypesSecret.js","../node_modules/prop-types/lib/ReactPropTypesSecret.js",-1,-1,-1
4173,"../node_modules/hoist-non-react-statics/node_modules/react-is/cjs/react-is.production.min.js","../node_modules/hoist-non-react-statics/node_modules/react-is/cjs/react-is.production.min.js",28,100,
5262,"./app/ui/link-to-visitor.tsx","./app/ui/link-to-visitor.tsx",1,1,1
9403,"./pages/login/model/api.ts","./pages/login/model/api.ts",1,1,1
1504,"./pages/registration/model/api.ts","./pages/registration/model/api.ts",1,1,1
8973,"./pages/home/model/store.ts","./pages/home/model/store.ts",6,0.6666666666666666,4
7204,"./pages/home/ui/link-to-global-feed.tsx","./pages/home/ui/link-to-global-feed.tsx",1,1,1
2433,"./pages/home/ui/sidebar/index.module.css","./pages/home/ui/sidebar/index.module.css",1,1,1
132,"./pages/home/ui/tag-list.tsx","./pages/home/ui/tag-list.tsx",1,1,1
8106,"./pages/editor/model/api.ts","./pages/editor/model/api.ts",3,1,3
